station,latitude,longitude,elevation
HVYS,34.44,-119.19,373.95
HWFG,43.93,-113.10,1716.25
HWUT,41.61,-111.57,1714.95
I40A,34.73,-115.91,765.32
IAGX,29.03,-113.17,152.44
IBEX,35.85,-116.37,700.40
ICIG,44.33,-112.94,2502.44
ICPS,24.40,92.04,20.00
IFR1,33.51,-5.13,1710.00
IID2,32.71,-115.03,9.77
IMPS,34.16,-115.15,563.24
IND1,9.86,-85.50,75.25
INMN,-74.82,-98.88,678.00
ISCO,5.54,-87.06,10.36
ISGN,34.93,-4.55,1640.00
ISLK,35.66,-118.47,823.38
JCFI,12.68,-86.83,44.13
JFWS,42.91,-90.25,293.61
JGBL,82.21,-31.00,753.26
JIR2,27.66,86.19,3061.00
JME2,18.24,-72.54,-8.41
JMEL,18.23,-72.54,6.70
JMLA,29.28,82.19,2411.20
JNSN,-73.08,-66.10,1374.00
JURI,24.50,92.14,-30.00
JWLF,83.11,-45.12,112.88
KAGA,69.22,-49.81,150.00
KAGZ,79.13,-65.85,86.63
KALW,23.20,94.30,64.49
KBRC,34.40,-119.01,370.50
KBUG,65.14,-41.16,290.72
KCHI,24.93,67.11,8.90
KEPA,-54.30,-36.51,346.00
KGPS,24.19,91.62,-27.40
KHLR,-76.15,-120.73,1862.00
KIOS,12.49,-86.70,489.38
KKN4,27.80,85.28,1896.00
KLAY,23.19,94.06,62.64
KMJP,83.64,-33.38,85.14
KMOR,81.25,-63.53,203.34
KROT,39.08,17.13,24.00
KSNB,66.86,-35.58,1720.98
KSU1,39.10,-96.61,325.59
KTBW,47.55,-122.80,491.57
KUAQ,68.59,-33.05,865.12
KUGE,27.62,85.54,1511.00
KULL,74.58,-57.23,94.07
KULU,65.58,-37.15,67.56
KVTX,27.55,-97.89,-2.60
LA02,-84.64,-150.10,114.62
LA09,-84.25,-153.64,89.82
LACR,40.85,-115.70,1653.79
LAFE,9.81,-84.96,65.33
LAGO,-47.21,-73.26,436.00
LAND,35.90,-120.47,568.57
LAPC,34.18,-118.57,207.82
LBEG,-77.71,162.45,13.70
LBIB,75.89,-23.85,1483.49
LBWG,-77.72,162.30,13.30
LCEC,0.02,-79.37,238.00
LCHS,36.38,-89.47,63.18
LCSB,19.67,-80.08,-8.16
LDES,34.27,-116.43,978.10
LDSW,34.70,-116.21,640.97
LEFN,80.46,-26.29,692.10
LEHG,-77.51,167.14,3346.19
LEME,12.43,-86.91,78.24
LEPA,9.95,-85.03,20.99
LEWI,40.40,-116.86,2916.71
LFLG,-77.61,163.15,-34.50
LFRL,-77.61,163.12,-30.40
LFRS,34.10,-118.41,146.92
LGC1,30.04,-94.07,-12.80
LGNE,18.51,-72.63,2.46
LGWD,33.64,-117.76,88.71
LHOE,-77.62,162.90,29.04
LHRG,-77.63,162.91,22.70
LIA1,48.26,-94.69,337.19
LIA2,48.26,-94.69,337.20
LIEC,0.79,-78.36,1227.90
LKCP,47.94,-121.83,178.29
LKWY,44.57,-110.40,2424.48
LMEC,-0.95,-79.28,173.00
LMJG,28.17,84.57,2027.00
LMNL,10.27,-85.05,102.97
LMRG,-78.10,163.85,108.60
LMUT,40.26,-111.93,2312.00
LNMT,35.09,-116.94,1345.32
LNTK,-74.84,-73.90,1191.00
LORS,34.13,-117.75,448.90
LOWS,35.83,-120.59,428.67
LPLY,-73.11,-90.30,156.10
LTHW,-76.46,-107.78,1013.00
LTUT,41.59,-112.25,1564.95
LVEG,19.22,-70.53,78.60
LYNS,64.43,-40.20,174.07
MACC,37.85,-90.48,220.01
MACZ,-77.53,167.25,3279.00
MAIR,36.85,-89.36,67.40
MAJK,-81.66,-21.87,1452.00
MANA,12.15,-86.25,71.05
MARG,77.19,-65.69,670.66
MASW,35.83,-120.44,713.75
MAT2,33.86,-117.44,398.32
MAUA,-19.90,23.53,942.00
MAWY,44.97,-110.69,1824.28
MCAR,-76.32,-144.30,965.00
MCG2,-77.53,167.25,3290.60
MCMD,-77.84,166.67,97.96
MCRG,-73.67,-94.65,1334.80
MCTY,36.12,-89.70,51.70
MDMT,42.42,-121.22,1710.53
MDWD,29.77,-95.60,2.14
MECE,7.11,-73.71,109.07
MEPD,29.66,-95.24,-12.70
MFLE,39.95,-105.19,1729.40
MGW1,29.62,-89.95,1.47
MGW2,29.62,-89.95,1.81
MGW3,29.62,-89.95,1.80
MIDA,35.92,-120.46,570.71
MIG1,34.04,-120.35,130.93
MIK2,68.14,-31.45,815.85
MIN0,-78.65,167.16,677.90
MINE,40.15,-116.10,2075.64
MIPR,17.89,-66.53,-38.11
MKLU,27.81,84.84,414.10
MLFP,33.92,-117.32,472.98
MNMC,35.97,-120.43,1061.95
MOIL,40.71,-115.41,2160.46
MOM0,12.41,-86.54,392.12
MOMI,12.55,-86.49,72.47
MOUT,41.05,-111.67,1609.80
MPUT,40.02,-111.63,1829.16
MPWD,34.30,-118.88,190.25
MRC1,38.50,-77.37,28.05
MRTP,-74.18,-115.10,64.00
MSVG,72.24,-23.91,88.18
MTAK,-76.32,-112.80,1328.80
MTJN,-79.63,-91.28,2161.80
MUSB,37.17,-119.31,2042.54
